t_sec,x_bin,y_bin,ask_band,N,U,L,n,loss_rate,wilson_95_low,wilson_95_high,resolved_mean_ask,gross_payout_sum,gross_ask_sum,gross_pnl_sum,gross_pnl_mean,fixed_mean_ask_wilson_screen_lower
120,"[0,1)",>=2,"[0.90,0.95)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.91000000,4,3.64000000,0.36000000,0.09000000,-0.399890836454597301712536589852471046460117866669254129450196
120,"[0,1)",>=2,"[0.95,0.98)",5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326,0.96000000,5,4.80000000,0.20000000,0.04000000,-0.394482464783174761084782871525556271809021898883564142795326
120,"[0,1)",>=2,"[0.98,1)",0,0,0,0,,,,,0,0,0,,
120,"[0,1)",>=2,ask=1,1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,1.00000000,1,1.00000000,0E-8,0E-8,-0.793450685622762572644686990659235135454905747938657255997644
120,"[1,2)",<-2,ask=0,0,0,0,0,,,,,0,0,0,,
120,"[1,2)",<-2,"(0,0.90)",73,0,43,73,0.589041095890410958904109589041095890410958904109589041095890,0.474492232441847540953862970531957144878085418240321102447048,0.694687272990693494578883916116019912865941454389174205650052,0.337397260273972602739726027397260273972602739726027397260274,30,24.63000000,5.37000000,0.0735616438356164383561643835616438356164383561643835616438356,-0.032084533264666097318609943513280186838544194115201602910326
120,"[1,2)",<-2,"[0.90,0.95)",0,0,0,0,,,,,0,0,0,,
120,"[1,2)",<-2,"[0.95,0.98)",0,0,0,0,,,,,0,0,0,,
120,"[1,2)",<-2,"[0.98,1)",0,0,0,0,,,,,0,0,0,,
120,"[1,2)",<-2,ask=1,0,0,0,0,,,,,0,0,0,,
120,"[1,2)","[-2,0)",ask=0,0,0,0,0,,,,,0,0,0,,
120,"[1,2)","[-2,0)","(0,0.90)",294,0,101,294,0.343537414965986394557823129251700680272108843537414965986395,0.291585551368796781979371477544376230458352539868313915657433,0.399525282011234295937267601706730602107073471553322835774079,0.643911564625850340136054421768707482993197278911564625850340,193,189.31000000,3.69000000,0.0125510204081632653061224489795918367346938775510204081632653,-0.043436846637084636073322023475438085100270750464887461624419
120,"[1,2)","[-2,0)","[0.90,0.95)",11,0,2,11,0.181818181818181818181818181818181818181818181818181818181818,0.051367689746085094133963649924377303658571388552538605220008,0.476980561960844163535145158696847971365613942692265986609726,0.916363636363636363636363636363636363636363636363636363636364,9,10.08000000,-1.08000000,-0.0981818181818181818181818181818181818181818181818181818181818,-0.393344198324480527171508795060484335001977579055902350246090
120,"[1,2)","[-2,0)","[0.95,0.98)",4,0,0,4,0,0,0.489890836454597301712536589852471046460117866669254129450196,0.96000000,4,3.84000000,0.16000000,0.04000000,-0.449890836454597301712536589852471046460117866669254129450196
120,"[1,2)","[-2,0)","[0.98,1)",0,0,0,0,,,,,0,0,0,,
120,"[1,2)","[-2,0)",ask=1,0,0,0,0,,,,,0,0,0,,
120,"[1,2)","[0,2)",ask=0,0,0,0,0,,,,,0,0,0,,
120,"[1,2)","[0,2)","(0,0.90)",281,2,64,279,0.229390681003584229390681003584229390681003584229390681003584,0.183929995794860724186911483979338420522927999773599220861160,0.282202018127024516974025566004620505567908799608451650392976,0.769498207885304659498207885304659498207885304659498207885305,215,214.69000000,0.31000000,0.00111111111111111111111111111111111111111111111111111111111111,-0.051700226012329176472233451309280003775794104267949858278281
120,"[1,2)","[0,2)","[0.90,0.95)",75,0,7,75,0.0933333333333333333333333333333333333333333333333333333333333,0.0459485233906004111328505663040991384244568171803070000997048,0.180346868495415019882497544623268742300877237088986226560999,0.92000000,68,69.00000000,-1.00000000,-0.0133333333333333333333333333333333333333333333333333333333333,-0.100346868495415019882497544623268742300877237088986226560999
120,"[1,2)","[0,2)","[0.95,0.98)",21,0,0,21,0,0,0.154639018924846951507636945003626730599908470059449552977985,0.959047619047619047619047619047619047619047619047619047619048,21,20.14000000,0.86000000,0.0409523809523809523809523809523809523809523809523809523809524,-0.113686637972465999126684564051245778218956089107068600597033
