panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
primary,10,raw_twap,"[8,infinity)","[-2,0)",132,0,0,132,0
primary,10,raw_twap,"[8,infinity)","[0,2)",168,0,0,168,0
primary,10,raw_twap,"[8,infinity)",>=2,143,0,0,143,0
primary,10,projected_close,"[0,1)",<-2,5,0,0,5,0
primary,10,projected_close,"[0,1)","[-2,0)",105,0,2,105,0.019047619047619047619047619047619047619047619047619047619047619047619047619047619
primary,10,projected_close,"[0,1)","[0,2)",119,0,2,119,0.016806722689075630252100840336134453781512605042016806722689075630252100840336134
primary,10,projected_close,"[0,1)",>=2,15,0,1,15,0.066666666666666666666666666666666666666666666666666666666666666666666666666666667
primary,10,projected_close,"[1,2)",<-2,20,0,0,20,0
primary,10,projected_close,"[1,2)","[-2,0)",110,0,0,110,0
primary,10,projected_close,"[1,2)","[0,2)",116,0,0,116,0
primary,10,projected_close,"[1,2)",>=2,8,0,0,8,0
primary,10,projected_close,"[2,4)",<-2,26,0,0,26,0
primary,10,projected_close,"[2,4)","[-2,0)",148,0,0,148,0
primary,10,projected_close,"[2,4)","[0,2)",197,0,0,197,0
primary,10,projected_close,"[2,4)",>=2,22,0,0,22,0
primary,10,projected_close,"[4,8)",<-2,33,0,0,33,0
primary,10,projected_close,"[4,8)","[-2,0)",177,0,0,177,0
primary,10,projected_close,"[4,8)","[0,2)",242,0,0,242,0
primary,10,projected_close,"[4,8)",>=2,51,0,0,51,0
primary,10,projected_close,"[8,infinity)",<-2,50,0,0,50,0
primary,10,projected_close,"[8,infinity)","[-2,0)",163,0,0,163,0
primary,10,projected_close,"[8,infinity)","[0,2)",219,0,0,219,0
primary,10,projected_close,"[8,infinity)",>=2,99,0,0,99,0
primary,5,raw_twap,"[0,1)",<-2,17,0,13,17,0.76470588235294117647058823529411764705882352941176470588235294117647058823529412
primary,5,raw_twap,"[0,1)","[-2,0)",99,0,9,99,0.090909090909090909090909090909090909090909090909090909090909090909090909090909091
primary,5,raw_twap,"[0,1)","[0,2)",117,0,1,117,0.0085470085470085470085470085470085470085470085470085470085470085470085470085470085
primary,5,raw_twap,"[0,1)",>=2,26,0,0,26,0
primary,5,raw_twap,"[1,2)",<-2,29,0,0,29,0
primary,5,raw_twap,"[1,2)","[-2,0)",103,0,0,103,0
primary,5,raw_twap,"[1,2)","[0,2)",98,0,0,98,0
primary,5,raw_twap,"[1,2)",>=2,21,0,0,21,0
primary,5,raw_twap,"[2,4)",<-2,45,0,0,45,0
primary,5,raw_twap,"[2,4)","[-2,0)",140,0,0,140,0
primary,5,raw_twap,"[2,4)","[0,2)",171,0,0,171,0
primary,5,raw_twap,"[2,4)",>=2,37,0,0,37,0
primary,5,raw_twap,"[4,8)",<-2,51,0,0,51,0
primary,5,raw_twap,"[4,8)","[-2,0)",168,0,0,168,0
primary,5,raw_twap,"[4,8)","[0,2)",195,0,0,195,0
primary,5,raw_twap,"[4,8)",>=2,80,0,0,80,0
primary,5,raw_twap,"[8,infinity)",<-2,76,0,0,76,0
