t_sec,x_bin,y_bin,ask_band,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high,median_bid,median_ask,ask_eq_0_N,ask_eq_1_N
10,"[1,2)","[-2,0)","(0,0.90)",3,0,1,3,0.333333333333333333333333333333333333333333333333333333333333,0.061491944720396241873444442939187390780210775328990142673567,0.792340399197952247054735144859082924781055214487972948705729,0.49000000,0.50000000,0,0
10,"[1,2)","[-2,0)","[0.90,0.95)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.90500000,0.91500000,0,0
10,"[1,2)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[1,2)","[-2,0)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.98000000,0.99000000,0,0
10,"[1,2)","[-2,0)",ask=1,288,0,0,288,0,0,0.0131628276401068066279889399249987036914787140690748624035166,0.99000000,1.00000000,0,288
10,"[1,2)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
10,"[1,2)","[0,2)","(0,0.90)",0,0,0,0,,,,,,0,0
10,"[1,2)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[1,2)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[1,2)","[0,2)","[0.98,1)",0,0,0,0,,,,,,0,0
10,"[1,2)","[0,2)",ask=1,362,0,1,362,0.00276243093922651933701657458563535911602209944751381215469613,0.00048780344189907451792208990913785117828417977401347153215552,0.0154793831080461447585713669297557109180958806365712648207708,0.99000000,1.00000000,0,362
10,"[1,2)",>=2,ask=0,0,0,0,0,,,,,,0,0
10,"[1,2)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[1,2)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[1,2)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[1,2)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
10,"[1,2)",>=2,ask=1,75,1,0,74,0,0,0.0493497793963860622025936786532397848191596529491670499794146,0.99000000,1.00000000,0,75
10,"[2,4)",<-2,ask=0,0,0,0,0,,,,,,0,0
10,"[2,4)",<-2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[2,4)",<-2,"[0.90,0.95)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.92000000,0.93000000,0,0
10,"[2,4)",<-2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
