utc_market_start_date,t_sec,subset,all_market_rows,N,U,n,projected_correct,projected_errors,projected_accuracy,projected_ties,twap_correct,twap_errors,twap_accuracy,twap_ties,spot_correct,spot_errors,spot_accuracy,spot_ties,both_correct,both_wrong,projected_improves_twap_count,projected_worsens_twap_count
2026-09-04,10,fresh_3s,288,271,0,271,270,1,0.99630996309963099630996309963099630996309963099630996309963099630996309963099631,0,269,2,0.99261992619926199261992619926199261992619926199261992619926199261992619926199262,0,256,15,0.94464944649446494464944649446494464944649446494464944649446494464944649446494465,0,268,0,2,1
2026-09-04,5,primary_600s,288,273,0,273,273,0,1,0,272,1,0.99633699633699633699633699633699633699633699633699633699633699633699633699633700,0,256,17,0.93772893772893772893772893772893772893772893772893772893772893772893772893772894,0,272,0,1,0
2026-09-04,5,fresh_3s,288,268,0,268,268,0,1,0,268,0,1,0,251,17,0.93656716417910447761194029850746268656716417910447761194029850746268656716417910,0,268,0,0,0
2026-09-04,3,primary_600s,288,273,0,273,273,0,1,0,272,1,0.99633699633699633699633699633699633699633699633699633699633699633699633699633700,0,254,19,0.93040293040293040293040293040293040293040293040293040293040293040293040293040293,0,272,0,1,0
2026-09-04,3,fresh_3s,288,267,0,267,267,0,1,0,267,0,1,0,250,17,0.93632958801498127340823970037453183520599250936329588014981273408239700374531835,0,267,0,0,0
2026-09-05,60,primary_600s,288,280,0,280,259,21,0.925,0,243,37,0.86785714285714285714285714285714285714285714285714285714285714285714285714285714,0,259,21,0.925,0,239,17,20,4
2026-09-05,60,fresh_3s,288,278,0,278,257,21,0.92446043165467625899280575539568345323741007194244604316546762589928057553956835,0,241,37,0.86690647482014388489208633093525179856115107913669064748201438848920863309352518,0,257,21,0.92446043165467625899280575539568345323741007194244604316546762589928057553956835,0,237,17,20,4
2026-09-05,30,primary_600s,288,280,0,280,272,8,0.97142857142857142857142857142857142857142857142857142857142857142857142857142857,0,261,19,0.93214285714285714285714285714285714285714285714285714285714285714285714285714286,0,268,12,0.95714285714285714285714285714285714285714285714285714285714285714285714285714286,0,258,5,14,3
2026-09-05,30,fresh_3s,288,275,0,275,267,8,0.97090909090909090909090909090909090909090909090909090909090909090909090909090909,0,256,19,0.93090909090909090909090909090909090909090909090909090909090909090909090909090909,0,264,11,0.96,0,253,5,14,3
2026-09-05,15,primary_600s,288,280,0,280,278,2,0.99285714285714285714285714285714285714285714285714285714285714285714285714285714,0,271,9,0.96785714285714285714285714285714285714285714285714285714285714285714285714285714,0,265,15,0.94642857142857142857142857142857142857142857142857142857142857142857142857142857,0,269,0,9,2
2026-09-05,15,fresh_3s,288,275,0,275,273,2,0.99272727272727272727272727272727272727272727272727272727272727272727272727272727,0,266,9,0.96727272727272727272727272727272727272727272727272727272727272727272727272727273,0,260,15,0.94545454545454545454545454545454545454545454545454545454545454545454545454545455,0,264,0,9,2
2026-09-05,10,primary_600s,288,280,0,280,280,0,1,0,274,6,0.97857142857142857142857142857142857142857142857142857142857142857142857142857143,0,261,19,0.93214285714285714285714285714285714285714285714285714285714285714285714285714286,0,274,0,6,0
2026-09-05,10,fresh_3s,288,277,0,277,277,0,1,0,271,6,0.97833935018050541516245487364620938628158844765342960288808664259927797833935018,0,258,19,0.93140794223826714801444043321299638989169675090252707581227436823104693140794224,0,271,0,6,0
2026-09-05,5,primary_600s,288,280,0,280,280,0,1,0,278,2,0.99285714285714285714285714285714285714285714285714285714285714285714285714285714,0,263,17,0.93928571428571428571428571428571428571428571428571428571428571428571428571428571,0,278,0,2,0
2026-09-05,5,fresh_3s,288,279,0,279,279,0,1,0,277,2,0.99283154121863799283154121863799283154121863799283154121863799283154121863799283,0,262,17,0.93906810035842293906810035842293906810035842293906810035842293906810035842293907,0,277,0,2,0
2026-09-05,3,primary_600s,288,280,0,280,280,0,1,0,278,2,0.99285714285714285714285714285714285714285714285714285714285714285714285714285714,0,259,21,0.925,0,278,0,2,0
2026-09-05,3,fresh_3s,288,279,0,279,279,0,1,0,277,2,0.99283154121863799283154121863799283154121863799283154121863799283154121863799283,0,258,21,0.92473118279569892473118279569892473118279569892473118279569892473118279569892473,0,277,0,2,0
2026-09-06,60,primary_600s,288,276,0,276,252,24,0.91304347826086956521739130434782608695652173913043478260869565217391304347826087,0,243,33,0.88043478260869565217391304347826086956521739130434782608695652173913043478260870,0,252,24,0.91304347826086956521739130434782608695652173913043478260869565217391304347826087,0,238,19,14,5
2026-09-06,60,fresh_3s,288,273,0,273,249,24,0.91208791208791208791208791208791208791208791208791208791208791208791208791208791,0,241,32,0.88278388278388278388278388278388278388278388278388278388278388278388278388278388,0,249,24,0.91208791208791208791208791208791208791208791208791208791208791208791208791208791,0,236,19,13,5
2026-09-06,30,primary_600s,288,276,0,276,271,5,0.98188405797101449275362318840579710144927536231884057971014492753623188405797101,0,259,17,0.93840579710144927536231884057971014492753623188405797101449275362318840579710145,0,268,8,0.97101449275362318840579710144927536231884057971014492753623188405797101449275362,0,256,2,15,3
2026-09-06,30,fresh_3s,288,270,0,270,265,5,0.98148148148148148148148148148148148148148148148148148148148148148148148148148148,0,253,17,0.93703703703703703703703703703703703703703703703703703703703703703703703703703704,0,262,8,0.97037037037037037037037037037037037037037037037037037037037037037037037037037037,0,250,2,15,3
2026-09-06,15,primary_600s,288,276,0,276,273,3,0.98913043478260869565217391304347826086956521739130434782608695652173913043478261,0,268,8,0.97101449275362318840579710144927536231884057971014492753623188405797101449275362,0,266,10,0.96376811594202898550724637681159420289855072463768115942028985507246376811594203,0,266,1,7,2
2026-09-06,15,fresh_3s,288,275,0,275,272,3,0.98909090909090909090909090909090909090909090909090909090909090909090909090909091,0,267,8,0.97090909090909090909090909090909090909090909090909090909090909090909090909090909,0,265,10,0.96363636363636363636363636363636363636363636363636363636363636363636363636363636,0,265,1,7,2
2026-09-06,10,primary_600s,288,276,0,276,274,2,0.99275362318840579710144927536231884057971014492753623188405797101449275362318841,0,269,7,0.97463768115942028985507246376811594202898550724637681159420289855072463768115942,0,262,14,0.94927536231884057971014492753623188405797101449275362318840579710144927536231884,0,267,0,7,2
2026-09-06,10,fresh_3s,288,274,0,274,272,2,0.99270072992700729927007299270072992700729927007299270072992700729927007299270073,0,267,7,0.97445255474452554744525547445255474452554744525547445255474452554744525547445255,0,260,14,0.94890510948905109489051094890510948905109489051094890510948905109489051094890511,0,265,0,7,2
2026-09-06,5,primary_600s,288,276,0,276,274,2,0.99275362318840579710144927536231884057971014492753623188405797101449275362318841,0,272,4,0.98550724637681159420289855072463768115942028985507246376811594202898550724637681,0,258,18,0.93478260869565217391304347826086956521739130434782608695652173913043478260869565,0,271,1,3,1
2026-09-06,5,fresh_3s,288,276,0,276,274,2,0.99275362318840579710144927536231884057971014492753623188405797101449275362318841,0,272,4,0.98550724637681159420289855072463768115942028985507246376811594202898550724637681,0,258,18,0.93478260869565217391304347826086956521739130434782608695652173913043478260869565,0,271,1,3,1
