t_sec,leader,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
30,Up,"[1,2)","[0,2)",191,0,2,191,0.0104712041884816753926701570680628272251308900523560209424084,0.0028762945798489946206197055060266386317557336350034470567180,0.0373690354857113805753879731491567297915327876986479229612126
30,Up,"[1,2)",>=2,58,0,1,58,0.0172413793103448275862068965517241379310344827586206896551724,0.0030500384460675060470640993933672155151442171401341170866748,0.0914085809346801317336240085808621422472831725918590892504830
30,Up,"[2,4)",<-2,74,0,33,74,0.445945945945945945945945945945945945945945945945945945945946,0.338158223284678459021559742057446341170250801780524204882338,0.559068779893309223378720655634795797729117809349115476196516
30,Up,"[2,4)","[-2,0)",246,0,3,246,0.0121951219512195121951219512195121951219512195121951219512195,0.0041559495953264715291782526666465943140114575091730408180526,0.0352348659528533431050631970848954843704391812222129314535126
30,Up,"[2,4)","[0,2)",311,0,0,311,0,1E-62,0.0122012483206091372512426986859317563594633993975987925369145
30,Up,"[2,4)",>=2,94,0,0,94,0,0,0.0392620762915447323564048012803787854219201205460401455101432
30,Up,"[4,8)",<-2,131,1,8,130,0.0615384615384615384615384615384615384615384615384615384615385,0.0315092851573330072301404914078576406317871587451651110316882,0.116736699274706851090131779518554300280380053254047510488486
30,Up,"[4,8)","[-2,0)",287,1,1,286,0.00349650349650349650349650349650349650349650349650349650349650,0.00061748559945453551918357757870030441239810055327311214384664,0.0195364939052782638152355363027224852049952765584843628512966
30,Up,"[4,8)","[0,2)",307,0,0,307,0,0,0.0123582575994472900316433668396150357438611862397862310848899
30,Up,"[4,8)",>=2,156,0,0,156,0,0,0.0240329314374149377257532448230617732617528518752598870345640
30,Up,"[8,infinity)",<-2,226,0,0,226,0,0,0.0167135156572903437050996295565775797504922142108238504364054
30,Up,"[8,infinity)","[-2,0)",243,2,0,241,0,0,0.0156895765904881260060938953061121208573975766771141807784930
30,Up,"[8,infinity)","[0,2)",331,1,0,330,0,0,0.0115068357125690859164416618757338229593628320068741801197166
30,Up,"[8,infinity)",>=2,336,3,0,333,0,0,0.0114043527603263126978094529144472059492301096294282537533020
30,Down,"[0,1)",<-2,41,0,40,41,0.975609756097560975609756097560975609756097560975609756097561,0.874049379442257706884271951083384234163301334620571095578894,0.995681468431087597555430663209428425552592017399382888433706
30,Down,"[0,1)","[-2,0)",192,0,88,192,0.458333333333333333333333333333333333333333333333333333333333,0.389362376922017273347067431007267491038679957327065576879704,0.528938885250212235677706685866344324567049787939146186939154
30,Down,"[0,1)","[0,2)",228,1,10,227,0.0440528634361233480176211453744493392070484581497797356828194,0.0241019272929106008950191911464284491505814081364227767601568,0.0791787352990415432305482237095738038128803001968261744068964
30,Down,"[0,1)",>=2,44,0,0,44,0,0,0.0802956037584806626166952308778981439265432201360044951705709
30,Down,"[1,2)",<-2,44,0,37,44,0.840909090909090909090909090909090909090909090909090909090909,0.706337949377593871451204339439266058192536193582545481403970,0.920733229877987494946503457689439752766638883597451453707004
30,Down,"[1,2)","[-2,0)",144,0,15,144,0.104166666666666666666666666666666666666666666666666666666667,0.0641480444947950723797802581862704222719814308634336637764391,0.164755668243442349440851916113087586030368375700562612893505
30,Down,"[1,2)","[0,2)",188,1,3,187,0.0160427807486631016042780748663101604278074866310160427807487,0.0054707365309429541687939722235296438284220525110038813369072,0.0460980309764397472697522500886008627197990625417862935800702
30,Down,"[1,2)",>=2,58,0,0,58,0,0,0.0621178557872029105585698261161661205396569393652786779920562
30,Down,"[2,4)",<-2,67,0,32,67,0.477611940298507462686567164179104477611940298507462686567164,0.362503865949596296746033610106287936930899045009624981404835,0.595148050739566469775542114356474876573263555515924632789235
30,Down,"[2,4)","[-2,0)",284,0,5,284,0.0176056338028169014084507042253521126760563380281690140845070,0.0075429281140617698607155446223252663156014801252048694589212,0.0405441642645118921376382107049543229649143776612207970791566
30,Down,"[2,4)","[0,2)",347,0,0,347,0,0,0.0109492727387654432362150077249873713151675188515389841612672
30,Down,"[2,4)",>=2,86,2,0,84,0,0,0.0437317284146598801624975314283815795965094588977717772519719
30,Down,"[4,8)",<-2,119,2,9,117,0.0769230769230769230769230769230769230769230769230769230769231,0.0409951707989056636782699993459841584787725741540591198317596,0.139749575531099503845637844678609342108474935342466505241332
30,Down,"[4,8)","[-2,0)",278,1,0,277,0,0,0.0136783893547096997757671775033450724802232840224746227545337
30,Down,"[4,8)","[0,2)",389,2,0,387,0,0,0.00982868816497910618612354226586982758568425310104591853983028
30,Down,"[4,8)",>=2,145,0,0,145,0,0,0.0258090645652824589620888631701967164365829546090600615913074
30,Down,"[8,infinity)",<-2,239,1,1,238,0.00420168067226890756302521008403361344537815126050420168067227,0.0007420852575231677170808925522046081167148107327154405170443,0.0234119983689120091139302236734820423722036609627083289180823
30,Down,"[8,infinity)","[-2,0)",222,1,0,221,0,0,0.0170851890075913437257512771886483766864410684317651216889147
30,Down,"[8,infinity)","[0,2)",328,0,0,328,0,0,0.0115761871176253579424049452893010655798498496138575094872949
30,Down,"[8,infinity)",>=2,302,5,0,297,0,0,0.0127690473106756546996753922806350641664957683663250861239392
15,Up,"[0,1)",<-2,50,0,46,50,0.92,0.811617530816571653584067163133974537482262540416539616747816,0.968450485911407026776867330353791743696051280534695835605992
