t_sec,utc_market_start_date,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
60,2026-08-20,271,4,32,267,0.119850187265917602996254681647940074906367041198501872659176,0.0861878710060359755640465632896370938000858935236789350184825,0.164296154283487303641093694614677373008533981545646006548260
60,2026-08-21,257,22,36,235,0.153191489361702127659574468085106382978723404255319148936170,0.112752552432964901863683687420083462704686092551618712106735,0.204786367297175914571108789180031524080991095924633067177673
60,2026-08-22,271,0,34,271,0.125461254612546125461254612546125461254612546125461254612546,0.0911870569576692518409336369062914433315236553228010457774731,0.170205307676675494833626716666208242135473964944430459905673
60,2026-08-23,268,0,27,268,0.100746268656716417910447761194029850746268656716417910447761,0.0701656795238559407317782945657632883341492206319173052492286,0.142610764038589004135888557077280990686015675811784882875469
60,2026-08-24,272,0,37,272,0.136029411764705882352941176470588235294117647058823529411765,0.100325769011975152242117971201194595309914723927810712155463,0.181870602604858531775599530299840494200408129224558405283655
60,2026-08-25,276,0,35,276,0.126811594202898550724637681159420289855072463768115942028986,0.0926118146229049885329356864369840702672914859740422255254259,0.171257088619224583150632204062611363520803436841641993502790
60,2026-08-26,274,0,31,274,0.113138686131386861313868613138686131386861313868613138686131,0.0808590780400726180779854216408396154743437705769404547335027,0.156115846797135069050499137684068395184431768570401440378169
60,2026-08-27,271,0,32,271,0.118081180811808118081180811808118081180811808118081180811808,0.0848961234258257895629832420235943690928849545794523049643139,0.161942396176683385617479778614373290471984539978759131865298
60,2026-08-28,275,0,28,275,0.101818181818181818181818181818181818181818181818181818181818,0.0713875930771780659332981255459785984951402109653714283316593,0.143219872662608155934051208217530549959411272096703171826831
60,2026-08-29,268,0,30,268,0.111940298507462686567164179104477611940298507462686567164179,0.0795445954980049592479209087329351312131396565005112918677203,0.155303536562689192772988928378061177367207532566264666683390
60,2026-08-30,276,0,31,276,0.112318840579710144927536231884057971014492753623188405797101,0.0802645043609392800420917316152475083006301900597918493607018,0.155016783473117653648605009000837068547196574418637387882200
60,2026-08-31,272,0,34,272,0.125,0.0908464239677603448754728737040170499003687681382872276016455,0.169598322546553147748842127842503951413297201776274893396232
60,2026-09-01,269,0,33,269,0.122676579925650557620817843866171003717472118959107806691450,0.0887010148416979053268693659018643854972734909210358269241992,0.167277160625368907855497582594406314492518880968953890449895
60,2026-09-02,261,0,29,261,0.111111111111111111111111111111111111111111111111111111111111,0.0784845542175647800926761302442224157922292113994731738125606,0.155019139260285714235323346133484304272696760250708908367887
60,2026-09-03,269,0,25,269,0.0929368029739776951672862453531598513011152416356877323420074,0.0637432732904841977443596333308705094814130171159074344223250,0.133592787927681477560755449037027437798215206745707088262044
60,2026-09-04,271,0,31,271,0.114391143911439114391143911439114391143911439114391143911439,0.0817676482787744546140320322409058978888034338530594205129950,0.157793948807816934819382321929795748725001997850641981889849
60,2026-09-05,278,0,37,278,0.133093525179856115107913669064748201438848920863309352517986,0.0981242088386909957418434860942322402912402194026309543406678,0.178064607194284487646597048031548965374109663340456022398058
60,2026-09-06,273,0,32,273,0.117216117216117216117216117216117216117216117216117216117216,0.0842646686296524318473095438584164726608695300381338429018020,0.160790602750903234436648697690505516942352282328458260137076
60,2026-09-07,273,0,46,273,0.168498168498168498168498168498168498168498168498168498168498,0.128766605677986557079465229880060218472859825069222353600741,0.217429586283164522333914874045082748599786816262610998791779
60,2026-09-08,266,0,38,266,0.142857142857142857142857142857142857142857142857142857142857,0.105881564752185681662290315164396063412831011513628120571041,0.190001281307239373680689672077176196125357225519988045158623
60,2026-09-09,240,0,29,240,0.120833333333333333333333333333333333333333333333333333333333,0.0854634783498129146154981126341158805385211010471718556554428,0.168149910939202517761803560771078252951122812732307983482611
60,2026-09-10,266,0,28,266,0.105263157894736842105263157894736842105263157894736842105263,0.0738371985049023949997257753299837949912191325237614218687677,0.147928052402883192484620526358069755024673129460761708674544
60,2026-09-11,278,0,33,278,0.118705035971223021582733812949640287769784172661870503597122,0.0857853072968674393330721014407439279520996754795001604136861,0.162018756423675710070601394807616932837381575214296109530480
60,2026-09-12,248,0,31,248,0.125,0.0894760438160848399617669317902508756473661057908659385679265,0.171964066676492447711538282622317095836770408397577975521900
90,2026-08-16,258,0,52,258,0.201550387596899224806201550387596899224806201550387596899225,0.157142313840453820597139946288861088292046080621057454357754,0.254715530621613037186223879414995548385484287918272709188300
