t_sec,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
10,"[2,4)","[0,2)",615,0,0,615,0,0,0.00620750075150858046942248338458489746664725024397385119092729
10,"[2,4)",>=2,178,0,0,178,0,0,0.0211253189762518284571776707073542034914253344488032569962098
10,"[4,8)",<-2,213,1,0,212,0,0,0.0177975947794410449167689929712370250568261019425441985633215
10,"[4,8)","[-2,0)",622,2,0,620,0,0,0.00615774852148492029219312953789323638501313719743009615850818
10,"[4,8)","[0,2)",729,1,0,728,0,0,0.00524903143214151688115856253355132307267298097080491697366170
10,"[4,8)",>=2,284,4,0,280,0,0,0.0135338186206294064480194391271503378468572302256404029940121
10,"[8,infinity)",<-2,433,1,0,432,0,1E-62,0.00881389033316930813861683085018287995383294700128658484997347
10,"[8,infinity)","[-2,0)",543,3,0,540,0,0,0.00706356376180702971342047935436676107980177771430331590709497
10,"[8,infinity)","[0,2)",690,5,0,685,0,0,0.00557669514734312650877867565809671533547215006724442932794821
10,"[8,infinity)",>=2,654,5,0,649,0,1E-62,0.00588421395239422005877313521391377883380406510455598527659815
5,"[0,1)",<-2,82,0,48,82,0.585365853658536585365853658536585365853658536585365853658537,0.477256958344124678329248188551021493658332489535593039919527,0.685834398586833804723966716826232437711731147969341828136477
5,"[0,1)","[-2,0)",412,0,53,412,0.128640776699029126213592233009708737864077669902912621359223,0.0997100022998567960087314090826650904363771085192008965205478,0.164432633050161181352409091786226744540396922522359748179332
5,"[0,1)","[0,2)",436,1,6,435,0.0137931034482758620689655172413793103448275862068965517241379,0.0063364262850485354774875616844359615981052544392513052915151,0.0297619379471394124223375759678714299338327380618562381895911
5,"[0,1)",>=2,83,0,0,83,0,1E-61,0.0442353096419738403383844233759625755395690083553910862604569
5,"[1,2)",<-2,81,1,2,80,0.025,0.0068828932029706468608464901781582030624385206359014328084673,0.0866443298557801031554020742691809895316014663650523841876477
5,"[1,2)","[-2,0)",337,1,0,336,0,1E-62,0.0113036791744733567655238503127629696475938045656430929990520
5,"[1,2)","[0,2)",358,0,0,358,0,0,0.0106164142528446705210688591881764850174400293828906202273718
5,"[1,2)",>=2,90,0,0,90,0,0,0.0409356255643267779347737319135887781891865818252014822304956
5,"[2,4)",<-2,144,2,1,142,0.00704225352112676056338028169014084507042253521126760563380282,0.0012442142265477850020115694302390952226938141918552770496780,0.0388092717158545765748691831482580238306148592729608073839548
5,"[2,4)","[-2,0)",535,0,0,535,0,0,0.00712910775110275235549813831832140722944151063500831477467837
5,"[2,4)","[0,2)",612,0,0,612,0,0,0.00623773986904085397106011433681542773640990484423974383591770
5,"[2,4)",>=2,155,1,0,154,0,0,0.0243374513223295347193119667914682277295063810104846420939052
5,"[4,8)",<-2,215,0,0,215,0,1E-62,0.0175536154867327557835719836331853283567373283342681761031040
5,"[4,8)","[-2,0)",610,0,0,610,0,0,0.00625806348771928190072478087330536378922460507684317260936074
5,"[4,8)","[0,2)",723,4,0,719,0,1E-62,0.00531438640357100178327718251882644532224487384414483799535763
5,"[4,8)",>=2,286,3,0,283,0,0,0.0133922719417468800191970897459232840195967897843813321991874
5,"[8,infinity)",<-2,415,2,0,413,0,0,0.00921563519992031926939583090371384259637093815053138569368526
5,"[8,infinity)","[-2,0)",567,2,0,565,0,0,0.00675312736286509040416077513099801371091042167840680592124474
5,"[8,infinity)","[0,2)",690,5,0,685,0,0,0.00557669514734312650877867565809671533547215006724442932794821
5,"[8,infinity)",>=2,662,5,0,657,0,0,0.00581298096452575423709970583735668683698071475527428715247060
3,"[0,1)",<-2,74,0,32,74,0.432432432432432432432432432432432432432432432432432432432432,0.325661186570673443720559019740786291558794036368548380856638,0.545872567401811159279791477374516382065416727543501220491928
3,"[0,1)","[-2,0)",405,0,44,405,0.108641975308641975308641975308641975308641975308641975308642,0.0819313950704207718994195276379533160120896207637815977393333,0.142706925822013710175405825524856539782701471159762895528655
3,"[0,1)","[0,2)",444,0,5,444,0.0112612612612612612612612612612612612612612612612612612612613,0.0048194652424819759844482737630644516906702253758568327052603,0.0260875857865652048895970883772258337266190722988089688428081
3,"[0,1)",>=2,83,0,0,83,0,1E-61,0.0442353096419738403383844233759625755395690083553910862604569
3,"[1,2)",<-2,94,2,3,92,0.0326086956521739130434782608695652173913043478260869565217391,0.0111511774109715325631936941308223799629099538641252641419102,0.0915335995299357298156547196508092194586509789066786758409284
3,"[1,2)","[-2,0)",322,1,0,321,0,0,0.0118256420674878576168884597580555356678939303430478474001580
3,"[1,2)","[0,2)",361,0,0,361,0,0,0.0105291181356175252413881954082877040905914997749756160889632
3,"[1,2)",>=2,84,1,0,83,0,1E-61,0.0442353096419738403383844233759625755395690083553910862604569
3,"[2,4)",<-2,129,0,0,129,0,0,0.0289176199568782527704081078419588624465267130069105775551402
3,"[2,4)","[-2,0)",531,1,0,530,0,1E-62,0.00719587952044838935725630105066501050513106765890687297439273
3,"[2,4)","[0,2)",620,0,0,620,0,0,0.00615774852148492029219312953789323638501313719743009615850818
3,"[2,4)",>=2,155,1,0,154,0,0,0.0243374513223295347193119667914682277295063810104846420939052
3,"[4,8)",<-2,214,0,0,214,0,0,0.0176341952605818704401078613510081346098981229027110183773906
3,"[4,8)","[-2,0)",603,1,0,602,0,0,0.00634069980646710703535749274598285040001057769362492417690328
3,"[4,8)","[0,2)",747,2,0,745,0,1E-62,0.00512986931405188229693554127984150773623634864322487599681717
3,"[4,8)",>=2,281,4,0,277,0,0,0.0136783893547096997757671775033450724802232840224746227545337
3,"[8,infinity)",<-2,435,2,0,433,0,1E-62,0.00879371392785062922598201023252156865940813825792263032036741
3,"[8,infinity)","[-2,0)",544,3,0,541,0,0,0.00705059932298275949620076721463341970068114575351919767740877
3,"[8,infinity)","[0,2)",732,4,0,728,0,0,0.00524903143214151688115856253355132307267298097080491697366170
3,"[8,infinity)",>=2,639,4,0,635,0,0,0.00601316456165115728369875346126790519970733065036374997667181
